字典类型编码,字典类型名称,数据库字段名,编码,名称,排序,状态
forecast-interval,预测间隔,forecast_interval,MIN_15,15分钟,1,启用
forecast-interval,预测间隔,forecast_interval,HOUR_1,1小时,2,启用
forecast-interval,预测间隔,forecast_interval,HOUR_24,24小时,3,启用
algorithm-type,算法方案类型,algorithm_type,TIME_SERIES,时序预测模型,1,启用
algorithm-type,算法方案类型,algorithm_type,REGRESSION,回归预测模型,2,启用
algorithm-type,算法方案类型,algorithm_type,NEURAL_NET,神经网络模型,3,启用
algorithm-type,算法方案类型,algorithm_type,ENSEMBLE,集成学习模型,4,启用
algorithm-type,算法方案类型,algorithm_type,HYBRID,混合架构,5,启用
algorithm-type,算法方案类型,algorithm_type,BASELINE,基线模型,6,启用
algorithm-type,算法方案类型,algorithm_type,MACHINE_LEARNING,机器学习模型,7,启用
algorithm-type,算法方案类型,algorithm_type,DEEP_LEARNING,深度学习模型,8,启用
train-node-type,训练节点类型,node_type,DAY_AHEAD_PRICE,日前电价预测节点,1,启用
train-node-type,训练节点类型,node_type,REALTIME_PRICE,实时电价预测节点,2,启用
train-node-type,训练节点类型,node_type,LOAD_FORECAST,负荷预测节点,3,启用
train-node-type,训练节点类型,node_type,POWER_FORECAST,功率预测节点,4,启用
train-node-type,训练节点类型,node_type,WEATHER_FORECAST,气象预测节点,5,启用
train-node-type,训练节点类型,node_type,REGIONAL_PRICE,区域电价专项节点,6,启用
train-node-type,训练节点类型,node_type,GLOBAL_MODEL,全网通用模型节点,7,启用
train-node-type,训练节点类型,node_type,SPECIAL_TASK,专项任务训练节点,8,启用
user-role,用户角色,user_role,ADMIN,管理员,1,启用
user-role,用户角色,user_role,ANALYST,预测分析师,2,启用
user-role,用户角色,user_role,TRADER,交易员,3,启用
user-role,用户角色,user_role,OPS,运维人员,4,启用
company-type,公司类型,company_type,NEW_ENERGY,新能源公司,1,启用
company-type,公司类型,company_type,TRADITIONAL,传统能源公司,2,启用
company-type,公司类型,company_type,INDEPENDENT,独立售电公司,3,启用
company-type,公司类型,company_type,GRID_COMPANY,电网企业,4,启用
device-status,设备状态,device_status,RUNNING,运行中,1,启用
device-status,设备状态,device_status,STOPPED,已停止,2,启用
device-status,设备状态,device_status,FAULT,故障,3,启用
device-status,设备状态,device_status,MAINTENANCE,维护中,4,启用
alarm-level,告警级别,alarm_level,INFO,提示,1,启用
alarm-level,告警级别,alarm_level,WARNING,警告,2,启用
alarm-level,告警级别,alarm_level,ERROR,错误,3,启用
alarm-level,告警级别,alarm_level,CRITICAL,严重,4,启用
node-type,交易节点,node_type,HN_AVERAGE,湖南省均价,1,启用
node-type,交易节点,node_type,POYAO,坡窑山,2,启用
node-type,交易节点,node_type,QIUJIAHU,邱家湖,3,启用
node-type,交易节点,node_type,QINGSHANJIE,青山界,4,启用
market-entity-type,市场主体类型,market_entity_type,GRID_COMPANY,电网企业,1,启用
market-entity-type,市场主体类型,market_entity_type,DIRECT_GEN,直购发电企业,2,启用
market-entity-type,市场主体类型,market_entity_type,WHOLESALE_USER,批发交易用户,3,启用
market-entity-type,市场主体类型,market_entity_type,RETAIL_USER,零售用户,4,启用
market-entity-type,市场主体类型,market_entity_type,LOCAL_RETAILER,售电公司(省内),5,启用
market-entity-type,市场主体类型,market_entity_type,OUTSIDE_RETAILER,售电公司(外省推送),6,启用
market-entity-type,市场主体类型,market_entity_type,INDEP_STORAGE,独立储能企业,7,启用
market-entity-type,市场主体类型,market_entity_type,VIRTUAL_POWER_PLANT,虚拟电厂,8,启用
contract-period,合约周期,contract_period,YEAR,年度,1,启用
contract-period,合约周期,contract_period,QUARTER,季度,2,启用
contract-period,合约周期,contract_period,MONTH,月度,3,启用
contract-period,合约周期,contract_period,WEEK,周度,4,启用
contract-period,合约周期,contract_period,DAY,日度,5,启用
contract-type,合约类型,contract_type,ANNUAL_BILATERAL,年度双边协商合约,1,启用
contract-type,合约类型,contract_type,MONTHLY_AUCTION,月度集中竞价合约,2,启用
contract-type,合约类型,contract_type,SPOT,现货合约,3,启用
settlement-type,结算类型,settlement_type,DAY_AHEAD,日前结算,1,启用
settlement-type,结算类型,settlement_type,REAL_TIME,实时结算,2,启用
settlement-type,结算类型,settlement_type,DEVIATION,偏差结算,3,启用
settlement-type,结算类型,settlement_type,CLEARING,清算分摊,4,启用
settlement-cycle,结算周期,settlement_cycle,DAILY,日结算,1,启用
settlement-cycle,结算周期,settlement_cycle,MONTHLY,月结算,2,启用
settlement-cycle,结算周期,settlement_cycle,QUARTERLY,季度结算,3,启用
metric-type,预测指标类型,metric_type,MAE,平均绝对误差(MAE),1,启用
metric-type,预测指标类型,metric_type,RMSE,均方根误差(RMSE),2,启用
metric-type,预测指标类型,metric_type,RMSPE,均方根百分比误差(RMSPE),3,启用
metric-type,预测指标类型,metric_type,ACCURACY,预测准确率(%),4,启用
model-source,模型来源,model_source,SELF_DEVELOPED,自研,1,启用
model-source,模型来源,model_source,WHU,武大功率预测模型,2,启用
model-source,模型来源,model_source,TUDE,图德电价预测模型,3,启用
data-source,数据来源,data_source,SCADA,升压站SCADA系统,1,启用
data-source,数据来源,data_source,WIND_SCADA,风机SCADA系统,2,启用
data-source,数据来源,data_source,ENERGY_METER,关口电能表计量系统,3,启用
data-source,数据来源,data_source,ASSET_LEDGER,资产台账,4,启用
data-source,数据来源,data_source,TRANSACTION_CENTER,省电力交易中心,5,启用
data-source,数据来源,data_source,GRID_COMPANY,省电力公司,6,启用
data-source,数据来源,data_source,CONTRACT_SYSTEM,内部合约管理系统,7,启用
data-source,数据来源,data_source,FINANCE_SYSTEM,内部财务/结算系统,8,启用
data-source,数据来源,data_source,PRODUCTION_PLAN,内部生产计划/年度预算系统,9,启用
data-source,数据来源,data_source,POWER_FORECAST,功率预测系统,10,启用
data-source,数据来源,data_source,PRICE_FORECAST,电价预测模型,11,启用
data-source,数据来源,data_source,LOAD_FORECAST,负荷预测模型,12,启用
data-channel,数据采集渠道,data_channel,INTERFACE_API,数据接口API,1,启用
data-channel,数据采集渠道,data_channel,SCADA_DIRECT,SCADA直采,2,启用
data-channel,数据采集渠道,data_channel,METER_READING,电能表读数,3,启用
data-channel,数据采集渠道,data_channel,FILE_IMPORT,文件导入,4,启用
data-channel,数据采集渠道,data_channel,MANUAL_INPUT,人工录入,5,启用
data-channel,数据采集渠道,data_channel,SYSTEM_CALC,系统计算,6,启用
data-channel,数据采集渠道,data_channel,PUBLIC_DATA,公开数据,7,启用
data-channel,数据采集渠道,data_channel,SIMULATION,模拟数据,8,启用
data-status,数据状态,data_status,COLLECTED,已归集,1,启用
data-status,数据状态,data_status,COLLECTING,归集中,2,启用
data-status,数据状态,data_status,SIMULATED,模拟数据,3,启用
data-status,数据状态,data_status,UNAVAILABLE,无法归集,4,启用
